"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 01:21:32 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","264","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","185","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains","Blocks a new domain in order to avoid messages being sent to the same"
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","182","Account","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","171","Transactional","Templates","","","","Get the list of email templates",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","177","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","159","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","249","Account","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","185","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","208","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","158","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:50 GMT 2024","194","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","157","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains","Unblocks an existing domain from the list of blocked domains"
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","219","Conversations","Pushed messages","","","","Send an automated message to a visitor","Example of automated messages: order status, announce new features in your web app, etc."
